indice,registro_uso,registro_uso_usuario,codigo,nome,observa
982,N,NULL,4-982,LIVRARIA PAULISTA,NULL
983,N,NULL,4-983,NAPA PART S,NULL
984,N,NULL,4-984,FORTEC,NULL
985,N,NULL,4-985,CONTROIL,NULL
986,N,NULL,4-986,FORD,NULL
987,N,NULL,4-987,MAGNETI MARELLI,NULL
988,N,NULL,4-988,JF,NULL
989,N,NULL,4-989,DRIVEWAY,NULL
990,N,NULL,4-990,EXTINTOR NACIONAL,NULL
991,N,NULL,4-991,KAIABA,NULL
992,N,NULL,4-992,BROSOL,NULL
993,N,NULL,4-993,DC,NULL
994,N,NULL,4-994,STOCK AIG,NULL
996,N,NULL,4-996,VOLBER,NULL
997,N,NULL,4-997,PRODUFLEX,NULL
998,N,NULL,4-998,VARGA,NULL
1000,N,NULL,4-1000,DZL,NULL
1001,N,NULL,4-1001,CORCERAMA,NULL
1002,N,NULL,4-1002,MANDO,"
"
1003,N,NULL,4-1003,YIMING PARTS,NULL
1004,N,NULL,4-1004,FINDER,NULL
1005,N,NULL,4-1005,ELOOSS,NULL
1006,N,NULL,4-1006,GM,NULL
1010,N,NULL,4-1010,DEPAULA,NULL
1011,N,NULL,4-1011,FORTEX,NULL
1012,N,NULL,4-1012,MOURA,NULL
1013,N,NULL,4-1013,ESCAPEX,NULL
1014,N,NULL,4-1014,FABRINI,NULL
1015,N,NULL,4-1015,DECAR,NULL
1016,N,NULL,4-1016,UCELL,NULL
1017,N,NULL,4-1017,TINKEN,NULL
1018,N,NULL,4-1018,LUCIFLEX,NULL
1019,N,NULL,4-1019,NEOFLEX,NULL
1020,N,NULL,4-1020,NORFLEX,NULL
1021,N,NULL,4-1021,NORFLEX,NULL
1022,N,NULL,4-1022,ENGETRAN,NULL
1023,N,NULL,4-1023,BORCOL,NULL
1024,N,NULL,4-1024,GATES,NULL
1026,N,NULL,4-1026,SONAL,NULL
1027,N,NULL,4-1027,RICTECH,NULL
1028,N,NULL,4-1028,SK AUTOMOTIVE,NULL
1029,N,NULL,4-1029,IRB,NULL
