id;registro_uso;registro_uso_usuario;codigo;nome;editar;grupo_codigo;grupo_nome;tempo_minimo;tempo_maximo;comissao_geral;comissao_tempo_abaixo;comissao_tempo_padrao;comissao_tempo_acima;valor_venda;observacoes;retorno_controle;vida_util_mes;vida_util_km;nfse_codigo;nfse_atividade;nfse_aliquota
4;N;;4-100;BALANCEAMENTO RENAULT/KIA;SIM;04/mai;BALANCEAMENTO-TODOS;00:00:00;00:00:00;0;0;0;0;5;;SIM;365;10000;NULL;NULL;0
4;N;NULL;4-102;CAMBAGEM LD KIA;NAO;04/jun;RAMPA DIANT;00:00:00;00:00:00;0;0;0;0;35;;NAO;0;0;NULL;NULL;0
4;N;NULL;4-103;CAMBAGEM LE KIA;NAO;04/jun;RAMPA DIANT;00:00:00;00:00:00;0;0;0;0;35;;NAO;0;0;NULL;NULL;0
4;N;NULL;4-104;CALOTA;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
4;N;NULL;4-105;FRETE;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
79;N;NULL;jun/79;ALINHAMENTO POSTO;SIM;04/mar;ALINHAMENTOS DDE;00:00:00;00:00:00;0;0;0;0;0;;SIM;365;10000;NULL;NULL;0
107;N;NULL;4-107;PARAFUSOS,ARRUELAS,PORCA,PRISIONEIRO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
80;N;NULL;jun/80;RETIFICA TAMBOR DE FREIO PAR;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;70;;NAO;;;NULL;NULL;0
109;N;NULL;4-109;KIT FIDELIDADE PASSEIO;NAO;04/mar;ALINHAMENTOS DDE;00:00:00;00:00:00;0;0;0;0;140;;NAO;0;0;NULL;NULL;0
110;N;NULL;4-110;KIT FIDELIDADE CAMINHONETE;NAO;04/mar;ALINHAMENTOS DDE;00:00:00;00:00:00;0;0;0;0;160;;NAO;0;0;NULL;NULL;0
111;N;NULL;4-111;SANITIZACAO-HIGIENIZACAO OZONIO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
84;N;NULL;jun/84;RETIFICA EMBREAGEM;NAO;04/jan;DIVERSOS;01:00:01;02:00:01;0;0;0;0;85;;NAO;;;NULL;NULL;0
83;N;NULL;jun/83;RETIFICA CABECOTE;NAO;04/jan;DIVERSOS;01:00:01;02:00:01;0;0;0;0;220;;NAO;;;NULL;NULL;0
85;N;NULL;jun/85;RETIFICA CAMPANA;NAO;04/jan;DIVERSOS;00:50:00;01:00:00;0;0;0;0;100;;NAO;;;NULL;NULL;0
87;N;NULL;jun/87;LIMPEZA DE TBI;NAO;04/jan;DIVERSOS;00:00:01;02:00:01;0;0;0;0;90;;NAO;;;NULL;NULL;0
112;N;NULL;112;FREIO TRASEIRO-AUTO(RETIFICA TAMBOR+LONA)-DF;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;290;;SIM;0;0;NULL;NULL;0
113;N;NULL;113;SUBSTITUCAO LUBRIFICANTE POR LITRO;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;2;;NAO;0;0;NULL;NULL;0
114;N;NULL;114;SUBSTITUICAO FILTRO LUBRIF.;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;5;;NAO;0;0;NULL;NULL;0
115;N;NULL;115;SUBSTITUICAO FILTRO COMB.;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;5;;NAO;0;0;NULL;NULL;0
116;N;NULL;116;SUBSTITUICAO DE FILTRO AR MOTOR;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;5;;NAO;0;0;NULL;NULL;0
117;N;NULL;117;SUBSTITUICAO FILTRO AR COND.;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;5;;NAO;0;0;NULL;NULL;0
118;N;NULL;118;SIBSTITUICAO PASTILHA FREIO;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;27;;NAO;0;0;NULL;NULL;0
119;N;NULL;119;MAO DE OBRA TROCA JG VELA;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;25;;NAO;0;0;NULL;NULL;0
120;N;NULL;120;MAO DE OBRA TROCA JG CABO VELA;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;10;;NAO;0;0;NULL;NULL;0
121;N;NULL;121;SUBSTITUICAO COR. DENTADA;SIM;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;100;;NAO;0;0;NULL;NULL;0
122;N;NULL;122;SUBSTITUICAO TENSIONADOR COR. DENTA;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;80;;NAO;0;0;NULL;NULL;0
123;N;NULL;123;SUBSTITUICAO COR. POLI V;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;25;;NAO;0;0;NULL;NULL;0
124;N;NULL;124;SUBSTITUICAO COR. AR COND.;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;25;;NAO;0;0;NULL;NULL;0
125;N;NULL;125;KIT BENEFICIENTE;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
126;N;NULL;126;OFERTA DE OLEO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
127;N;NULL;127;PROMOCAO DESCONTO R 50,00 POSTO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
128;N;NULL;128;PROMOCAO ALINHAMENTO/BALANCEAMENTO/RODIZIO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
129;N;NULL;129;DESCONTO CAMPANHA POSTO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
130;N;NULL;130;MANUTENCAO PREVENTIVA HILLUX UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;50;;NAO;0;0;NULL;NULL;0
131;N;NULL;131;REGULAGEM/LUBRIFICACAO/LIMPEZA DE FREIO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
132;N;NULL;132;SANGRIA HILLUX UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;30;;NAO;0;0;NULL;NULL;0
133;N;NULL;133;AJUSTE FREIO TRASEIRO/F.MAO - HILLUX UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;30;;NAO;0;0;NULL;NULL;0
134;N;NULL;134;MANUTENCAO PREVENTIVA CARRO PASSEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;45;;NAO;0;0;NULL;NULL;0
135;N;NULL;135;LIMPEZA TBI CARRO PASEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;38.25;;NAO;0;0;NULL;NULL;0
136;N;NULL;136;REGULAGEM LUBRIF./LIMPEZA FREIO CARRO PASSEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;27;;NAO;0;0;NULL;NULL;0
137;N;NULL;137;SANGRIA CARRO PASSEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;27;;NAO;0;0;NULL;NULL;0
138;N;NULL;138;TROCA DISCO/PASTILHA FREIO CARRO PASSEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;45;;NAO;0;0;NULL;NULL;0
139;N;NULL;139;TROCA DISCO/PASTILHA HILLUX UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;47.5;;NAO;0;0;NULL;NULL;0
140;N;NULL;140;CASTER CARRO PASSEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;35;;NAO;0;0;NULL;NULL;0
141;N;NULL;141;CAMBAGEM CARRO PASSEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;35;;NAO;0;0;NULL;NULL;0
142;N;NULL;142;RASTREAR/CHECK-UP/SCANEAR SISTEMA CARRO PASSEIO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;65;;NAO;0;0;NULL;NULL;0
143;N;NULL;143;AJUSTE DO FREIO TRAS. E FREIO DE MAO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;30;;NAO;0;0;NULL;NULL;0
145;N;NULL;145;RETIFICA MOTOR INTEIRO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
146;N;NULL;146;TORNEAR TAMBOR DE FREIO -FREIO TRASEIRO UNIDAS;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;320;;NAO;0;0;NULL;NULL;0
147;N;NULL;147;RASTER SAPINHO;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
148;N;NULL;148;POLIMENTO FAROL;NAO;04/jan;DIVERSOS;00:00:00;00:00:00;0;0;0;0;0;;NAO;0;0;NULL;NULL;0
