id,id_empresa,nome
1145,6,SEINECA
1146,6,KYLL
1147,4,IRB
1148,4,IRB
1149,4,AC DELCO - ORIGINAL
1150,4,4X4
1151,4,TSA
1153,4,DELPHI
1154,6,DXLUB
1155,6,LRB
1156,6,TUPER
1157,6,GAXETAS QUALITY
1158,6,UNIPARTS
1159,6,VOLKSWAGEN
1160,4,RODIPEL
1161,4,NEOLUX
1162,4,OSRAM
1163,4,PAT
1164,4,IBTF
1165,6,AUTOMIX
1166,4,VP
1167,6,MECPAR
1168,6,GT OIL
1170,6,TAN CLICK
1171,6,WM COMERCIO DE PECAS AUTOMOTIVAS
1172,6,VIA BRASIL
1173,4,ALLKAR
1174,6,ALLEN SHOCKS
1175,6,WEGA
1176,6,SCAPEX
1177,6,L.FLEX
1178,4,RENAULT
1179,6,LEMFORDER
1180,6,MICHELIN
1182,4,GREEN PASTS
1183,4,ANE
1184,6,CHEVROLET
1186,4,KMF
1187,4,PETROBRAS
1188,6,RV EXTRA
1189,4,CICARELLI
1190,6,GETOFLEX
1191,4,AMPRI
1193,6,SOLOPES
1194,4,TENACITY
1195,4,BLACK
1196,6,DLZ
1197,6,VOBER
1198,4,POWER STOP
1200,4,AUTOMORTEX
1201,4,WILLTEC
1203,4,4X4
1204,4,ORIGINAL GM
1206,6,CITROEN
1207,6,VOX
1208,4,PATRAL
1209,4,4X4
1210,4,NPM
1211,4,NITRON
1212,4,AMORTEC
1213,6,VALEO
1214,6,ORBI
1215,6,SCHUCK
1216,4,BARRELA
1218,4,METAL SYSTE
1219,4,ORIGINAL VW
1220,6,GREHDER
1221,6,FREUDENBERG-NOK
1222,4,SK
1223,6,DE-SIL
1224,6,BIP
1225,6,WORX
1226,4,HANKOOK
1227,4,BSBROL
1230,4,3RHO
1231,6,RANALLE
1232,6,DANA
1233,4,TUTELA
1234,4,APLUS
1235,4,RECRIM
1236,4,DLZ-IMPORTADO
1237,4,EFRAR
1238,4,DINPA
1239,6,RPD
1240,6,MBJ
1241,6,ICELCAR
1242,4,ECOPADS
1243,4,ZETEC
1244,6,MICPARTS
1245,4,IGAECO
1247,6,SAIBEM
1248,6,JINYU
1249,4,RUBER
1250,4,COMBATE
1251,4,ACDELCO
1252,4,FILTRAN
1253,4,FRANK
1254,4,AERO FLAT
1256,6,TAS
1257,4,RANALLE
1258,6,MICRONAIR
1259,6,PARAFLU
1260,4,ELI
1261,4,3R
1262,6,CAV
1264,4,SCHADEK (ORIGINAL)
1266,6,BELAIR
1267,6,ASH
1268,4,ORIGINAL RENAULT
1269,6,DSC AUTO PECAS
1270,4,MICRO
1271,6,SYNTIUM
1272,4,TAKAL
1273,4,MOBIL
1274,4,TECNO PARTS
1275,4,4X4
1276,4,ORIGINAL CITROEN
1277,4,ORIGINAL HYNDAI
1278,6,TRALI
1279,4,PETRONAS
1281,4,HONDA
1282,4,BRASME
1283,4,CORTECO
1284,4,DURALIGHT
1285,4,JTEKT
1286,4,RIO
1287,4,BBB
1288,4,ELR
1289,4,EATON
1290,6,KS
1291,6,SPAAL
1292,4,NEVESCAR
1294,4,SCHADER
